Time (s),I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.292,-0.00402,-0.25092,-0.31784,0.20104,0.16276,-0.2816,0.23172,0.14026,0.17054,0.16404,-0.03714,-0.25434
0.294,-0.00402,-0.24606,-0.31784,0.1936,0.15442,-0.27634,0.2367,0.14026,0.17054,0.16574,-0.03932,-0.25804
0.296,0.01204,-0.2363,-0.31784,0.1787,0.16276,-0.27108,0.2417,0.14444,0.17234,0.16918,-0.03494,-0.25434
0.298,0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.2367,0.14444,0.17234,0.1709,-0.03276,-0.25434
0.3,0.02812,-0.24606,-0.3347,0.1787,0.18782,-0.28688,0.23172,0.14654,0.17234,0.1709,-0.03276,-0.25434
0.302,0.03616,-0.2363,-0.32908,0.17126,0.18782,-0.2816,0.22674,0.14234,0.17054,0.1709,-0.03494,-0.25804
0.304,0.02812,-0.2363,-0.32346,0.17126,0.17946,-0.27634,0.22674,0.14444,0.17054,0.16918,-0.03494,-0.25804
0.306,0.004,-0.23144,-0.30658,0.1787,0.15442,-0.26582,0.22674,0.14234,0.16874,0.16918,-0.03494,-0.26176
0.308,0.02812,-0.21682,-0.30658,0.15636,0.16276,-0.2553,0.22674,0.14234,0.16874,0.16746,-0.03276,-0.25434
0.31,0.05224,-0.21194,-0.31784,0.14146,0.18782,-0.26056,0.22674,0.14234,0.16874,0.16746,-0.03276,-0.25062
0.312,0.03616,-0.22656,-0.31784,0.1638,0.17946,-0.27108,0.21678,0.14234,0.16874,0.16746,-0.03494,-0.25804
0.314,0.01204,-0.23144,-0.3122,0.1787,0.16276,-0.26582,0.22674,0.14234,0.17234,0.16918,-0.03276,-0.25062
0.316,-0.00402,-0.22656,-0.29534,0.1787,0.13772,-0.2553,0.23172,0.14654,0.17592,0.17434,-0.03058,-0.25062
0.318,-0.01206,-0.22656,-0.2897,0.18614,0.12938,-0.2553,0.22674,0.14864,0.17772,0.17606,-0.03058,-0.25062
0.32,-0.01206,-0.22656,-0.2897,0.18614,0.12938,-0.2553,0.23172,0.14864,0.17772,0.17606,-0.03276,-0.25434
0.322,0.01204,-0.20708,-0.28408,0.15636,0.13772,-0.24476,0.2417,0.15282,0.18132,0.1812,-0.0284,-0.2469
0.324,0.0442,-0.19246,-0.28408,0.12658,0.15442,-0.23424,0.24668,0.15492,0.1849,0.18292,-0.02622,-0.2469
0.326,0.03616,-0.19246,-0.27846,0.13402,0.14608,-0.23424,0.2367,0.15492,0.18312,0.1812,-0.0284,-0.2469
0.328,0.02812,-0.18758,-0.2672,0.13402,0.13772,-0.2237,0.2417,0.157,0.1849,0.18292,-0.02622,-0.2432
0.33,0.03616,-0.17296,-0.25596,0.12658,0.12938,-0.21318,0.25166,0.157,0.1849,0.18292,-0.02402,-0.2432
0.332,0.0442,-0.17296,-0.26158,0.11912,0.13772,-0.21318,0.25664,0.157,0.1867,0.18292,-0.02402,-0.2432
0.334,0.0442,-0.17296,-0.26158,0.11912,0.13772,-0.21318,0.26162,0.157,0.1885,0.18464,-0.02184,-0.2432
0.336,0.05224,-0.15348,-0.2447,0.10422,0.12938,-0.19738,0.26662,0.1612,0.1885,0.18808,-0.02184,-0.23948
0.338,0.0442,-0.16322,-0.25034,0.11168,0.12938,-0.20266,0.26662,0.1591,0.1885,0.18636,-0.02184,-0.2432
0.34,0.02812,-0.1681,-0.2447,0.12658,0.12102,-0.20266,0.2716,0.1612,0.1885,0.18636,-0.02402,-0.2469
